sector,product,scene,date,type,filename,full_path
Glaciar Grey,aerial,19850129_25822_modificado,19850129,monoband,19850129_25822_modificado.tif,s3://easido-prod-dc-data-projects/saf/aerial/Glaciar Grey/19850129_25822_modificado/19850129_25822_modificado.tif
Glaciar Grey,aerial,19850129_25839_modificado,19850129,monoband,19850129_25839_modificado.tif,s3://easido-prod-dc-data-projects/saf/aerial/Glaciar Grey/19850129_25839_modificado/19850129_25839_modificado.tif
Glaciar Grey,aerial,19841220_24072_modificado,19841220,monoband,19841220_24072_modificado.tif,s3://easido-prod-dc-data-projects/saf/aerial/Glaciar Grey/19841220_24072_modificado/19841220_24072_modificado.tif
Glaciar Grey,aerial,19980218_11707_GEO,19980218,monoband,19980218_11707_GEO.tif,s3://easido-prod-dc-data-projects/saf/aerial/Glaciar Grey/19980218_11707_GEO/19980218_11707_GEO.tif
Glaciar Grey,aerial,19840330_22213_GEO,19840330,monoband,19840330_22213_GEO.tif,s3://easido-prod-dc-data-projects/saf/aerial/Glaciar Grey/19840330_22213_GEO/19840330_22213_GEO.tif
Glaciar Grey,aerial,19840330_22123_GEO,19840330,monoband,19840330_22123_GEO.tif,s3://easido-prod-dc-data-projects/saf/aerial/Glaciar Grey/19840330_22123_GEO/19840330_22123_GEO.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,qa,composite_udm2_qb-shadow.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_udm2_qb-shadow.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,qa,composite_udm2_qb-confidence.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_udm2_qb-confidence.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,mss,composite_green.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_green.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,mss,composite_nir.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_nir.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,mss,composite_coastal.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_coastal.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,mss,composite_red.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_red.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,qa,composite_udm2_qb-haze_heavy.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_udm2_qb-haze_heavy.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,qa,composite_udm2_qb-udm1.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_udm2_qb-udm1.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,qa,composite_udm2_qb-cloud.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_udm2_qb-cloud.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,qa,composite_udm2_qb-snow.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_udm2_qb-snow.tif
